Main Topic,Subtopic,Description,Code Snippets
Graph,DFS from a Given Source of Undirected Graph:,"The algorithm starts from a given source and explores all reachable vertices from the given source. It is similar to  Preorder Tree Traversal  where we visit the root, then recur for its children. In a graph, there might be loops. So we use an extra visited array to make sure that we do not process a vertex again. Let us understand the working of   Depth First Search   with the help of the following illustration: for the  source as 0 . Below is the implementation of the above approach: Time complexity:  O(V + E), where V is the number of vertices and E is the number of edges in the graph. Auxiliary Space:  O(V + E), since an extra visited array of size V is required, And stack size for recursive calls to DFSRec function. Please refer  Complexity Analysis of Depth First Search:  for details.","def dfs_rec(adj, visited, s):
    # Mark the current vertex as visited
    visited[s] = True

    # Print the current vertex
    print(s, end="" "")

    # Recursively visit all adjacent vertices
    # that are not visited yet
    for i in adj[s]:
        if not visited[i]:
            dfs_rec(adj, visited, i)


def dfs(adj, s):
    visited = [False] * len(adj)
    # Call the recursive DFS function
    dfs_rec(adj, visited, s)

def add_edge(adj, s, t):
    # Add edge from vertex s to t
    adj[s].append(t)
    # Due to undirected Graph
    adj[t].append(s)
    
if __name__ == ""__main__"":
    V = 5

    # Create an adjacency list for the graph
    adj = [[] for _ in range(V)]

    # Define the edges of the graph
    edges = [[1, 2], [1, 0], [2, 0], [2, 3], [2, 4]]

    # Populate the adjacency list with edges
    for e in edges:
        add_edge(adj, e[0], e[1])

    source = 1
    print(""DFS from source:"", source)
    dfs(adj, source)"
Graph,DFS for Complete Traversal of Disconnected Undirected Graph,"The above implementation takes a source as an input and prints only those vertices that are reachable from the source and would not print all vertices in case of disconnected graph. Let us now talk about the algorithm that prints all vertices without any source and the graph maybe disconnected. The idea is simple, instead of calling DFS for a single vertex, we call the above implemented DFS for all all non-visited vertices one by one. Time complexity:  O(V + E). Note that the time complexity is same here because we visit every vertex at most once and every edge is traversed at most once (in directed) and twice in undirected. Auxiliary Space:  O(V + E), since an extra visited array of size V is required, And stack size for recursive calls to DFSRec function. Related Articles: Depth First Search or DFS on Directed Graph Breadth First Search or BFS for a Graph","class Graph:
    def __init__(self, vertices):
        # Adjacency list
        self.adj = [[] for _ in range(vertices)]  

    def add_edge(self, s, t):
        self.adj[s].append(t)  
        self.adj[t].append(s) 

    def dfs_rec(self, visited, s):
        visited[s] = True 
        print(s, end="" "") 

        # Recursively visit all adjacent vertices
        # that are not visited yet
        for i in self.adj[s]:
            if not visited[i]:
                self.dfs_rec(visited, i)

    def dfs(self):
        visited = [False] * len(self.adj) 

        # Loop through all vertices to handle disconnected
        # graph
        for i in range(len(self.adj)):
            if not visited[i]:
                  # Perform DFS from unvisited vertex
                self.dfs_rec(visited, i)


if __name__ == ""__main__"":
    V = 6  # Number of vertices
    graph = Graph(V)

    # Define the edges of the graph
    edges = [(1, 2), (2, 0), (0, 3), (4, 5)]

    # Populate the adjacency list with edges
    for edge in edges:
        graph.add_edge(edge[0], edge[1])

    print(""Complete DFS of the graph:"")
    graph.dfs()  # Perform DFS"
Graph,Detect Cycle in a Directed Graph using  DFS:,"The problem can be solved based on the following idea: To keep track of vertices that are in recursion call stack, we use a boolean array where we use vertex number as an index. Whenever we begin recursive call for a vertex, we mark its entry as true and whenever the recursion call is about to end, we mark false. Illustration: Below is the graph showing how to detect cycle in a graph using DFS: Below is the implementation of the above approach: Time Complexity:  O(V + E), the Time Complexity of this method is the same as the time complexity of   DFS traversal   which is O(V+E).  Auxiliary Space:  O(V). To store the visited and recursion stack O(V) space is needed. In the below article, another O(V + E) method is discussed :  Detect Cycle in a direct graph using colors","def is_cyc_util(adj, u, visited, rec_stack):
  
    if not visited[u]:
      
        # Mark the current node as visited
        # and part of recursion stack
        visited[u] = True
        rec_stack[u] = True

        # Recur for all the vertices 
        # adjacent to this vertex
        for x in adj[u]:
            if not visited[x] and is_cyc_util(adj, x, visited, rec_stack):
                return True
            elif rec_stack[x]:
                return True

    # Remove the vertex from recursion stack
    rec_stack[u] = False
    return False

def is_cyclic(adj, V):
    visited = [False] * V
    rec_stack = [False] * V

    # Call the recursive helper function to
    # detect cycle in different DFS trees
    for i in range(V):
        if not visited[i] and is_cyc_util(adj, i, visited, rec_stack):
            return True

    return False

# Driver function
if __name__ == ""__main__"":
    V = 4
    adj = [[] for _ in range(V)]

    # Adding edges to the graph
    adj[0].append(1)
    adj[0].append(2)
    adj[1].append(2)
    adj[2].append(0)
    adj[2].append(3)
    adj[3].append(3)

    # Function call
    if is_cyclic(adj, V):
        print(""Contains Cycle"")
    else:
        print(""No Cycle"")"
Graph,Detect Cycle in a Directed Graph using  Topological Sorting:,"Below is the implementation of the above approach: Time Complexity:   O(V + E), the time complexity of this method is the same as the time complexity of BFS traversal which is O(V+E).  Auxiliary Space:   O(V)","from collections import deque

# Function to add an edge to the adjacency list
def add_edge(adj, u, v):
    adj[u].append(v)

# Function to detect cycle in a directed graph
def is_cyclic(V, adj):
  
    # Stores in-degree of each vertex
    in_degree = [0] * V
    
    # Queue to store vertices with 0 in-degree
    q = deque()
    
    visited = 0  # Count of visited vertices

    # Calculate in-degree of each vertex
    for u in range(V):
        for v in adj[u]:
            in_degree[v] += 1

    # Enqueue vertices with 0 in-degree
    for u in range(V):
        if in_degree[u] == 0:
            q.append(u)

    # BFS traversal
    while q:
        u = q.popleft()
        visited += 1

        # Reduce in-degree of adjacent vertices
        for v in adj[u]:
            in_degree[v] -= 1
            
            # If in-degree becomes 0, enqueue it
            if in_degree[v] == 0:
                q.append(v)

    # If not all vertices are visited, cycle
    return visited != V

# Driver function
if __name__ == ""__main__"":
    V = 6
    adj = [[] for _ in range(V)]

    # Adding edges to the graph
    add_edge(adj, 0, 1)
    add_edge(adj, 0, 2)
    add_edge(adj, 1, 3)
    add_edge(adj, 4, 1)
    add_edge(adj, 4, 5)
    add_edge(adj, 5, 3)

    # Function call to check for cycles
    if is_cyclic(V, adj):
        print(""Contains cycle"")
    else:
        print(""No Cycle"")"
Graph,1. Adjacency List for Directed graph:,"Consider an Directed and Unweighted graph  G  with 3  vertices  and  3 edges . For the graph G, the adjacency list would look like: ","# Function to add an edge between two vertices
def addEdge(adj, u, v):
    adj[u].append(v)


def displayAdjList(adj):
    for i in range(len(adj)):
        print(f""{i}: "", end="""")
        for j in adj[i]:
            print(f""{j} "", end="""")
        print()


def main():
  
    # Create a graph with 3 vertices and 3 edges
    V = 3
    adj = [[] for _ in range(V)]

    # Now add edges one by one
    addEdge(adj, 1, 0)
    addEdge(adj, 1, 2)
    addEdge(adj, 2, 0)

    print(""Adjacency List Representation:"")
    displayAdjList(adj)


if __name__ == ""__main__"":
    main()"
Graph,2. Adjacency List for Undirected graph:,"Consider an Undirected and Unweighted graph  G  with 3  vertices  and  3 edges . For the graph G, the adjacency list would look like: ","# Function to add an edge between two vertices
def addEdge(adj, u, v):
    adj[u].append(v)
    adj[v].append(u)

def displayAdjList(adj):
    for i in range(len(adj)):
        print(f""{i}: "", end="""")
        for j in adj[i]:
            print(f""{j} "", end="""")
        print()


def main():
  
    # Create a graph with 3 vertices and 3 edges
    V = 3
    adj = [[] for _ in range(V)]

    # Now add edges one by one
    addEdge(adj, 1, 0)
    addEdge(adj, 1, 2)
    addEdge(adj, 2, 0)

    print(""Adjacency List Representation:"")
    displayAdjList(adj)


if __name__ == ""__main__"":
    main()"
Graph,3. Adjacency List for Directed and Weighted graph:,"Consider an Directed and Weighted graph  G  with 3  vertices  and  3 edges . For the graph G, the adjacency list would look like: ","# Function to add an edge between two vertices
def addEdge(adj, u, v, w):
    adj[u].append((v, w))

def displayAdjList(adj):
    for i in range(len(adj)):
        print(f""{i}: "", end="""")
        for j in adj[i]:
            print(f""{{{j[0]}, {j[1]}}} "", end="""")
        print()

def main():
  
    # Create a graph with 3 vertices and 3 edges
    V = 3
    adj = [[] for _ in range(V)]

    # Now add edges one by one
    addEdge(adj, 1, 0, 4)
    addEdge(adj, 1, 2, 3)
    addEdge(adj, 2, 0, 1)

    print(""Adjacency List Representation:"")
    displayAdjList(adj)

if __name__ == ""__main__"":
    main()"
Graph,4. Adjacency List for Undirected and Weighted graph:,"Consider an Undirected and Weighted graph  G  with 3  vertices  and  3 edges . For the graph G, the adjacency list would look like: ","# Function to add an edge between two vertices
def addEdge(adj, u, v, w):
    adj[u].append((v, w))
    adj[v].append((u, w))

def displayAdjList(adj):
    for i in range(len(adj)):
        print(f""{i}: "", end="""")
        for j in adj[i]:
            print(f""{{{j[0]}, {j[1]}}} "", end="""")
        print()

def main():
  
    # Create a graph with 3 vertices and 3 edges
    V = 3
    adj = [[] for _ in range(V)]

    # Now add edges one by one
    addEdge(adj, 1, 0, 4)
    addEdge(adj, 1, 2, 3)
    addEdge(adj, 2, 0, 1)

    print(""Adjacency List Representation:"")
    displayAdjList(adj)

if __name__ == ""__main__"":
    main()"
Graph,Characteristics of the Adjacency List:,"An adjacency list representation uses a list of lists. We store all adjacent of every node together. The size of the list is determined by the number of vertices in the graph. All adjacent of a vertex are easily available. To find all adjacent, we need only O(n) time where is the number of adjacent vertices.",
Graph,Applications of the Adjacency List:,"Graph algorithms : Many graph algorithms like  Dijkstra’s algorithm ,  Breadth First Search , and  Depth First Search  perform faster for adjacency lists to represent graphs. Adjacency List representation is the most commonly used representation of graph as it allows easy traversal of all edges.",
Graph,Advantages of using an Adjacency list:,"An adjacency list is simple and easy to understand. Requires less space compared to adjacency matrix for sparse graphs. Easy to traverse through all edges of a graph. Adding an vertex is easier compared to adjacency matrix representation. Most of the graph algorithms are implemented faster with this representation. For example, BFS and DFS implementations take OIV x V) time, but with Adjacency List representation, we get these in linear time. Similarly Prim’s and Dijskstra’s algorithms are implemented faster with Adjacency List representation.",
Graph,Disadvantages of using an Adjacency list:,Checking if there is an edge between two vertices is costly as we have traverse the adjacency list. Not suitable for dense graphs. Adjacency Matrix meaning and definition in DSA Add and Remove Edge in Adjacency List representation of a Graph Convert Adjacency Matrix to Adjacency List representation of Graph Convert Adjacency List to Adjacency Matrix representation of a Graph Comparison between Adjacency List and Adjacency Matrix representation of Graph,
Rabin-Karp Algorithm,Rabin-Karp Algorithm:,"In the  Naive String Matching  algorithm, we check whether every substring of the text of the pattern’s size is equal to the pattern or not one by one.",
Rabin-Karp Algorithm,How is Hash Value calculated in Rabin-Karp?,"Hash value  is used to efficiently check for potential matches between a  pattern  and substrings of a larger  text . The hash value is calculated using a  rolling hash function , which allows you to update the hash value for a new substring by efficiently removing the contribution of the old character and adding the contribution of the new character. This makes it possible to slide the pattern over the  text  and calculate the hash value for each substring without recalculating the entire hash from scratch. Here’s how the hash value is typically calculated in Rabin-Karp: Step 1:  Choose a suitable  base  and a  modulus : Select a prime number ‘ p ‘ as the modulus. This choice helps avoid overflow issues and ensures a good distribution of hash values. Choose a base ‘ b ‘ (usually a prime number as well), which is often the size of the character set (e.g., 256 for ASCII characters). Step 2:  Initialize the hash value: Set an initial hash value ‘ hash ‘ to  0 . Step 3:  Calculate the initial hash value for the  pattern : Iterate over each character in the  pattern  from  left  to  right . For each character  ‘c’  at position  ‘i’ , calculate its contribution to the hash value as  ‘c * (b pattern_length – i – 1 ) % p’  and add it to ‘ hash ‘. This gives you the hash value for the entire  pattern . Step 4:  Slide the pattern over the  text : Start by calculating the hash value for the first substring of the  text  that is the same length as the  pattern . Step 5:  Update the hash value for each subsequent substring: To slide the  pattern  one position to the right, you remove the contribution of the leftmost character and add the contribution of the new character on the right. The formula for updating the hash value when moving from position  ‘i’  to  ‘i+1’  is: Step 6:  Compare hash values: When the hash value of a substring in the  text  matches the hash value of the  pattern , it’s a  potential match . If the hash values match, we should perform a character-by-character comparison to confirm the match, as  hash collisions  can occur. Below is the Illustration of above algorithm:  Step-by-step approach: Initially calculate the hash value of the pattern. Start iterating from the starting of the string: Calculate the hash value of the current substring having length  m . If the hash value of the current substring and the pattern are same check if the substring is same as the pattern. If they are same, store the starting index as a valid answer. Otherwise, continue for the next substrings. Return the starting indices as the required answer. Below is the implementation of the above approach: Time Complexity: The average and best-case running time of the Rabin-Karp algorithm is O(n+m), but its worst-case time is O(nm). The worst case of the Rabin-Karp algorithm occurs when all characters of pattern and text are the same as the hash values of all the substrings of T[] match with the hash value of P[]. Auxiliary Space:  O(1)","# Following program is the python implementation of
# Rabin Karp Algorithm given in CLRS book

# d is the number of characters in the input alphabet
d = 256

# pat  -> pattern
# txt  -> text
# q    -> A prime number


def search(pat, txt, q):
    M = len(pat)
    N = len(txt)
    i = 0
    j = 0
    p = 0    # hash value for pattern
    t = 0    # hash value for txt
    h = 1

    # The value of h would be ""pow(d, M-1)%q""
    for i in range(M-1):
        h = (h*d) % q

    # Calculate the hash value of pattern and first window
    # of text
    for i in range(M):
        p = (d*p + ord(pat[i])) % q
        t = (d*t + ord(txt[i])) % q

    # Slide the pattern over text one by one
    for i in range(N-M+1):
        # Check the hash values of current window of text and
        # pattern if the hash values match then only check
        # for characters one by one
        if p == t:
            # Check for characters one by one
            for j in range(M):
                if txt[i+j] != pat[j]:
                    break
                else:
                    j += 1

            # if p == t and pat[0...M-1] = txt[i, i+1, ...i+M-1]
            if j == M:
                print(""Pattern found at index "" + str(i))

        # Calculate hash value for next window of text: Remove
        # leading digit, add trailing digit
        if i < N-M:
            t = (d*(t-ord(txt[i])*h) + ord(txt[i+M])) % q

            # We might get negative values of t, converting it to
            # positive
            if t < 0:
                t = t+q


# Driver Code
if __name__ == '__main__':
    txt = ""GEEKS FOR GEEKS""
    pat = ""GEEK""

    # A prime number
    q = 101

    # Function Call
    search(pat, txt, q)

# This code is contributed by Bhavya Jain"
Rabin-Karp Algorithm,Limitations of Rabin-Karp Algorithm,"Spurious Hit:  When the hash value of the pattern matches with the hash value of a window of the text but the window is not the actual pattern then it is called a  spurious hit . Spurious hit increases the time complexity of the algorithm. In order to minimize spurious hit, we use good  hash function . It greatly reduces the spurious hit. Related Posts:   Searching for Patterns | Set 1 (Naive Pattern Searching)   Searching for Patterns | Set 2 (KMP Algorithm) ",
